1,3494,521,1708,1119,943,3774,115,75,63,
1,3466,459,1655,1050,903,3602,117,74,63,
1,3541,504,1675,1103,946,3722,114,75,64,
1,3591,539,1662,1129,960,3754,112,76,65,
1,3476,488,1697,1090,931,3708,116,74,64,
1,3493,501,1694,1100,936,3723,116,75,64,
1,3577,532,1741,1159,999,3903,113,75,65,
1,3557,558,1880,1236,1069,4185,114,75,65,
1,3478,484,1676,1078,919,3669,116,74,63,
1,3555,524,1750,1153,994,3900,114,75,64,
2,3509,669,1624,1177,903,3733,110,80,61,
2,3544,666,1617,1179,914,3736,110,80,62,
2,3460,664,1611,1158,875,3674,111,80,60,
2,3490,649,1606,1152,885,3667,111,80,61,
2,3476,645,1602,1145,877,3647,112,80,61,
2,3536,628,1563,1128,880,3591,110,80,62,
2,3530,661,1606,1168,902,3704,110,80,62,
2,3467,650,1607,1149,876,3662,111,80,60,
2,3538,654,1620,1171,913,3729,110,80,62,
